FRAMES,FP1_FORCE_X,FP1_FORCE_Y,FP1_FORCE_Z,FP1_COFP_X,FP1_COFP_Y,FP1_COFP_Z,FP1_FREEMOMENT_Z,FP2_FORCE_X,FP2_FORCE_Y,FP2_FORCE_Z,FP2_COFP_X,FP2_COFP_Y,FP2_COFP_Z,FP2_FREEMOMENT_Z,f_Heel_contact_1,f_Toe_off_1,f_Heel_contact_2,f_Toe_off_2
5195,8.781647375565894e-56,-3.0956694881244084e-55,-2.120506754450307e-54,,,,-7.211526502188702e-56,6.663283005585441e-33,5.956829180088148e-32,-2.406321157126763e-32,,,,-2.1026192113001288e-32,948,2382,2185,3578
5196,8.847309640459583e-56,-2.8266919368911634e-55,-1.9512439733483623e-54,,,,-6.873193605361525e-56,9.795719773482446e-33,4.002516711506066e-32,-4.41844963827237e-32,,,,-1.8652277087325492e-32,948,2382,2185,3578
5197,8.792830393779971e-56,-2.543997276589531e-55,-1.7711162778373967e-54,,,,-6.474649661577895e-56,1.2534831902674347e-32,2.1626408490302886e-32,-6.202187826217049e-32,,,,-1.6238810235752297e-32,948,2382,2185,3578
5198,8.629135965796468e-56,-2.25241282075898e-55,-1.5833802920085908e-54,,,,-6.026177435761343e-56,1.4878614987450923e-32,4.512887952018648e-33,-7.753869898506792e-32,,,,-1.3820406068912808e-32,948,2382,2185,3578
5199,8.367637262061835e-56,-1.956470309062233e-55,-1.3911140980768892e-54,,,,-5.537831369484402e-56,1.6830353882932587e-32,-1.1203148353890439e-32,-9.07314657199665e-32,,,,-1.1428798227783119e-32,948,2382,2185,3578
5200,8.020040789701478e-56,-1.660372375801754e-55,-1.197192570526194e-54,,,,-5.019326820020539e-56,1.8398130193533864e-32,-2.54370982082115e-32,-1.016270747379782e-31,,,,-9.092673682491656e-33,948,2382,2185,3578
5201,7.598171933008361e-56,-1.367966132367565e-55,-1.0042674398225137e-54,,,,-4.479943112762095e-56,1.95943095528806e-32,-3.8130746969573044e-32,-1.1027987783322293e-31,,,,-6.83756048494112e-33,948,2382,2185,3578
5202,7.113811724480294e-56,-1.0827236004607325e-55,-8.147519414672442e-55,,,,-3.9284404871261624e-56,2.0435017053126747e-32,-4.925077644082457e-32,-1.1676864281958823e-31,,,,-4.6857659725866817e-33,948,2382,2185,3578
5203,6.57854807668279e-56,-8.07728666620462e-56,-6.308098590616574e-55,,,,-3.372990829360496e-56,2.093960862401426e-32,-5.878707823200932e-32,-1.2119345647078622e-31,,,,-2.656361931423957e-33,948,2382,2185,3578
5204,6.0036421709521805e-56,-5.456701721741309e-56,-4.543487294369339e-55,,,,-2.821121916216079e-56,2.1130145550855044e-32,-6.675091009085617e-32,-1.2367261490115997e-31,,,,-7.652129152847863e-34,948,2382,2185,3578
5205,5.399910443489471e-56,-2.988407061163339e-56,-2.870169437460551e-55,,,,-2.279674741996936e-56,2.103087866835827e-32,-7.317293243210092e-32,-1.243395427191927e-31,,,,9.749563167226493e-34,948,2382,2185,3578
5206,4.777622369960186e-56,-6.914063137525395e-57,-1.3020445060730173e-55,,,,-1.7547733684619154e-56,2.0667748085820306e-32,-7.810116068071801e-32,-1.2333977839684278e-31,,,,2.554458445753057e-33,948,2382,2185,3578
5207,4.1464140280461175e-56,1.4191315289161094e-56,1.4953254246257432e-56,,,,-1.2518066225929292e-56,2.0067903599940707e-32,-8.15988671042678e-32,-1.208280592550242e-31,,,,3.9665106175666884e-33,948,2382,2185,3578
5208,3.5152172148498143e-56,3.3317422934037696e-56,1.4756818306597435e-55,,,,-7.754208712611953e-57,1.925925024499922e-32,-8.374246359869421e-32,-1.1696553533421417e-31,,,,5.2070751725207035e-33,948,2382,2185,3578
5209,2.892203713627732e-56,5.038499878971871e-56,2.6699029727374287e-55,,,,-3.295230239883484e-57,1.827002272609159e-32,-8.461939446172335e-32,-1.1191713726032793e-31,,,,6.274678380412508e-33,948,2382,2185,3578
5210,2.2847441426733703e-56,6.53481788674292e-56,3.727956808792693e-55,,,,8.270714522341755e-58,1.7128391788481368e-32,-8.432606558863945e-32,-1.0584911908584121e-31,,,,7.170211398421595e-33,948,2382,2185,3578
5211,1.699380678613638e-56,7.8192248824749755e-56,4.6477279218799255e-55,,,,4.5879630934714106e-57,1.586210490287825e-32,-8.296583380470096e-32,-9.89267930356994e-32,,,,7.896717541709092e-33,948,2382,2185,3578
5212,1.1418128269452125e-56,8.893118445953722e-56,5.429071353008301e-55,,,,7.969495127396461e-57,1.4498162999669387e-32,-8.064707725233932e-32,-9.131246916249721e-32,,,,8.459169785542838e-33,948,2382,2185,3578
5213,6.168953140724612e-57,9.760502996290797e-56,6.073646843146274e-55,,,,1.0960157004732186e-56,1.30625343709309e-32,-7.748136492218832e-32,-8.3163609155892e-32,,,,8.864242210904484e-33,948,2382,2185,3578
5214,1.2864709691511592e-57,1.0427716168028015e-55,6.584743809603518e-55,,,,1.3554478429735203e-56,1.1579906282613545e-32,-7.358174059436596e-32,-7.46311999918307e-32,,,,9.120078868163614e-33,948,2382,2185,3578
5215,-3.1972957238830707e-57,1.0903148254971564e-55,6.967100111268288e-55,,,,1.5752586320711227e-56,1.0073474304879875e-32,-6.906113367626237e-32,-6.585834977697692e-32,,,,9.236063271237926e-33,948,2382,2185,3578
5216,-7.258211289601464e-57,1.1196958944166354e-55,7.226717477743363e-55,,,,1.7559726988741165e-56,8.564768879515274e-33,-6.4030906717771e-32,-5.697910506635075e-32,,,,9.222591453201057e-33,948,2382,2185,3578
