FRAMES,FP1_FORCE_X,FP1_FORCE_Y,FP1_FORCE_Z,FP1_COFP_X,FP1_COFP_Y,FP1_COFP_Z,FP1_FREEMOMENT_Z,FP2_FORCE_X,FP2_FORCE_Y,FP2_FORCE_Z,FP2_COFP_X,FP2_COFP_Y,FP2_COFP_Z,FP2_FREEMOMENT_Z,f_Heel_contact_1,f_Toe_off_1,f_Heel_contact_2,f_Toe_off_2
1,-1.674419281806759e-19,-2.381367768434503e-19,-1.5364580838809935e-18,,,,1.9119605023621404e-20,7.786204766421914e-44,-3.451315642004938e-43,-4.398843573004727e-42,,,,-8.634621474275473e-44,948,2382,2185,3578
2,-1.852214813006405e-19,-2.555783650702455e-19,-1.3079982436139308e-18,,,,2.1488383915203918e-20,8.51904404391127e-44,-3.5607995777229417e-43,-4.630230629685047e-42,,,,-8.826772894346165e-44,948,2382,2185,3578
3,-2.020330036266248e-19,-2.710248053615746e-19,-1.0397843280259007e-18,,,,2.3773319062350525e-20,9.199464522786812e-44,-3.630071358334567e-43,-4.817606051666123e-42,,,,-8.911874842824043e-44,948,2382,2185,3578
4,-2.175485662261091e-19,-2.840719812807615e-19,-7.3191558395355e-19,,,,2.5934277847414595e-20,9.812962737641565e-44,-3.654411534078741e-43,-4.954225691424375e-42,,,,-8.878768994379767e-44,948,2382,2185,3578
5,-2.3142808823789267e-19,-2.9431215417382887e-19,-3.850616823449936e-19,,,,2.79291504491153e-20,1.0344633707703782e-43,-3.629297691332504e-43,-5.033436595528453e-42,,,,-8.716932348679198e-44,948,2382,2185,3578
6,-2.4332301975783693e-19,-3.0133939668177696e-19,-5.062817736771767e-22,,,,2.971426193164788e-20,1.0779344537549187e-43,-3.5504867752137456e-43,-5.048779636981224e-42,,,,-8.416685227522719e-44,948,2382,2185,3578
7,-2.528804870305923e-19,-3.0475550585281893e-19,4.1981404646942966e-19,,,,3.1244844801292246e-20,1.1101927385472045e-43,-3.4141011134364887e-43,-4.99409894776339e-42,,,,-7.969406677826627e-44,948,2382,2185,3578
8,-2.5974788427187196e-19,-3.0417635676757733e-19,8.732765138759227e-19,,,,3.247557096544341e-20,1.1297390869519696e-43,-3.2167172681677557e-43,-4.863657235202484e-42,,,,-7.367754920690546e-44,948,2382,2185,3578
9,-2.635778886675439e-19,-2.992386477216103e-19,1.3565454247670764e-18,,,,3.3361141089288e-20,1.1351148633789704e-43,-2.9554567214141622e-43,-4.6522558973140674e-42,,,,-6.605890195961366e-44,948,2382,2185,3578
10,-2.640338669261667e-19,-2.8960697791618725e-19,1.865553093656135e-18,,,,3.385692834664491e-20,1.1249263435958008e-43,-2.6280772810475606e-43,-4.355358683472107e-42,,,,-5.679697071338881e-44,948,2382,2185,3578
11,-2.6079563327983886e-19,-2.749811884119116e-19,2.3954893473473296e-18,,,,3.39196725124237e-20,1.0978704744944654e-43,-2.233063980898849e-43,-3.969217480022318e-42,,,,-4.587003020112178e-44,948,2382,2185,3578
12,-2.5356551012536457e-19,-2.5510388693532753e-19,2.9408005585871074e-18,,,,3.35082192548942e-20,1.0527617459427428e-43,-1.769718141456609e-43,-3.490998638305926e-42,,,,-3.3277898272515017e-44,948,2382,2185,3578
13,-2.42074633676373e-19,-2.2976806714285637e-19,3.4951991112317236e-18,,,,3.258429836818325e-20,9.885598978363763e-44,-1.2382431597468135e-43,-2.918908107733777e-42,,,,-1.9043941651805307e-44,948,2382,2185,3578
14,-2.260894381709839e-19,-1.988247232972207e-19,4.051684132951292e-18,,,,3.11133335522863e-20,9.043981479024016e-44,-6.398255101579477e-44,-2.2523134919138126e-42,,,,-3.21693493624191e-45,948,2382,2185,3578
15,-2.0541824347335374e-19,-1.6219035216678122e-19,4.6025742497690944e-18,,,,2.9065275214011896e-20,7.996115891952261e-44,2.3290635421949222e-45,-1.491861014382997e-42,,,,1.412726711961442e-44,948,2382,2185,3578
16,-1.7991786245532313e-19,-1.1985422549426437e-19,5.139553016740029e-18,,,,2.6415446643642774e-20,6.737653711825418e-44,7.477368174878078e-44,-6.395852653142327e-43,,,,3.288428506152069e-44,948,2382,2185,3578
17,-1.4950013648965635e-19,-7.188530878126904e-20,5.653727560519432e-18,,,,2.3145392835946734e-20,5.266822454791191e-44,1.528963417872708e-43,3.009904951973888e-43,,,,5.292003955480415e-44,948,2382,2185,3578
18,-1.1413829987996223e-19,-1.8438695586604505e-20,6.1357008324152705e-18,,,,1.9243720188894693e-20,3.5846902732286847e-44,2.3611942163404273e-43,1.3247657748559937e-42,,,,7.406988724291773e-44,948,2382,2185,3578
19,-7.387306725152826e-20,4.0238578769612896e-20,6.575657714964063e-18,,,,1.470691434842469e-20,1.6954149749063157e-44,3.2373940805263425e-43,2.4249883729624576e-42,,,,9.613810879653136e-44,948,2382,2185,3578
20,-2.8818331993837275e-20,1.0380248407748401e-19,6.9634650516146e-18,,,,9.540122593018491e-21,-3.935275277376834e-45,4.1492514676793444e-43,3.593196354065652e-42,,,,1.188977891466219e-43,948,2382,2185,3578
21,2.0833641055906648e-20,1.7180784491830006e-19,7.288785478533822e-18,,,,3.757886388519223e-21,-2.671140483893122e-44,5.0871773631109965e-43,4.819178822241551e-42,,,,1.4209112806360973e-43,948,2382,2185,3578
22,7.480764920301179e-20,2.4370523583778845e-19,7.541204730971544e-18,,,,-2.615190887340271e-21,-5.122734546499124e-44,6.0403221987370814e-43,6.090957799293593e-42,,,,1.6543021670281363e-43,948,2382,2185,3578
23,1.3274173461705354e-19,3.18839063165952e-19,7.71037187547025e-18,,,,-9.54385652856893e-21,-7.729792301185853e-44,6.9966121841533025e-43,7.394793425675737e-42,,,,1.885983124542734e-43,948,2382,2185,3578
24,1.9418423986508283e-19,3.964469709695721e-19,7.786151685257371e-18,,,,-1.6981717173262383e-20,-1.0469874373343543e-43,7.94280634115567e-43,8.715214579190674e-42,,,,2.11251640389922e-43,948,2382,2185,3578
25,2.585918590845208e-19,4.756607026684041e-19,7.758788131531495e-18,,,,-2.4870859452715655e-20,-1.3316572308221915e-43,8.8645753596555e-43,1.003507684161082e-41,,,,2.3302174477949225e-43,948,2382,2185,3578
26,3.2532880495480973e-19,5.555085414758893e-19,7.619077710519392e-18,,,,-3.314159839800707e-20,-1.623951324007699e-43,9.746603188074559e-43,1.1335649535815598e-41,,,,2.5351840854443883e-43,948,2382,2185,3578
27,3.9366720700904523e-19,6.349194419337336e-19,7.358551067953107e-18,,,,-4.1712369044095093e-20,-1.9204421099875717e-43,1.057271203447017e-42,1.2596733304807074e-41,,,,2.7233315214326346e-43,948,2382,2185,3578
28,4.627888501444375e-19,7.127289513166508e-19,6.969661122147951e-18,,,,-5.048977608062399e-20,-2.2173238752566065e-43,1.1326011186211983e-42,1.3796809408551095e-41,,,,2.8904331625021412e-43,948,2382,2185,3578
29,5.317883533461447e-19,7.876870035379796e-19,6.445975627631445e-18,,,,-5.936881554270284e-20,-2.510431500094086e-43,1.1989069756872857e-42,1.4913221575064907e-41,,,,3.03216724733079e-43,948,2382,2185,3578
30,5.996778775569197e-19,8.584676493706233e-19,5.7823718670632325e-18,,,,-6.823328140136978e-20,-2.79526598412137e-43,1.2544113140481903e-42,1.5922390859238612e-41,,,,3.1441691589847608e-43,948,2382,2185,3578
31,6.653934382538802e-19,9.236807653287594e-19,4.975230914061823e-18,,,,-7.695636849250646e-20,-3.067027070429068e-43,1.2973242597338056e-42,1.680006353791913e-41,,,,3.2220892081215787e-43,948,2382,2185,3578
32,7.278028826099107e-19,9.818857594912146e-19,4.0226286778288105e-18,,,,-8.540148150801361e-20,-3.3206531666349414e-43,1.3258677014683582e-42,1.7521591604908591e-41,,,,3.2616555778906247e-43,948,2382,2185,3578
33,7.857155731276807e-19,1.0316072659864959e-18,2.924520726660924e-18,,,,-9.342325776102772e-20,-3.550868676411991e-43,1.338301548275956e-42,1.8062244927600813e-41,,,,3.258742019692814e-43,948,2382,2185,3578
34,8.378937993791739e-19,1.0713527909459897e-18,1.682917696256864e-18,,,,-1.0086880912870358e-19,-3.7522387607105274e-43,1.3329518905775046e-42,1.8397553591658313e-41,,,,3.2094397835252644e-43,948,2382,2185,3578
35,8.830659170389818e-19,1.0996322416562058e-18,3.0204792496827156e-19,,,,-1.0757918597672821e-19,-3.91923144454041e-43,1.3082408432383227e-42,1.850367839588875e-41,,,,3.110133158703293e-43,948,2382,2185,3578
36,9.199411888794497e-19,1.1149792376419157e-18,-1.2114961733200322e-18,,,,-1.1339106298898773e-19,-4.046286873402026e-43,1.2627178046228794e-42,1.8357806871609683e-41,,,,2.9575778916162152e-43,948,2382,2185,3578
37,9.472262759540942e-19,1.1159740677777145e-18,-2.8486315823029703e-18,,,,-1.1813864367828354e-19,-4.12789340405589e-43,1.1950918209450696e-42,1.7938571595416667e-41,,,,2.7489816382678517e-43,948,2382,2185,3578
38,9.636432990280753e-19,1.1012681215940996e-18,-4.597681638344952e-18,,,,-1.2165577695942426e-19,-4.158670088282056e-43,1.1042647006688487e-42,1.7226486948331676e-41,,,,2.4820855022401195e-43,948,2382,2185,3578
39,9.679493606590413e-19,1.0696095861033829e-18,-6.444300109303626e-18,,,,-1.2377827554947552e-19,-4.133454976768214e-43,9.893644800669779e-43,1.620439985554142e-41,,,,2.1552456050810547e-43,948,2382,2185,3578
40,9.589573874697012e-19,1.0198701621575854e-18,-8.371425993617046e-18,,,,-1.2434642215197008e-19,-4.047398534631466e-43,8.49778798985157e-43,1.4857949427831182e-41,,,,1.7675135377469838e-43,948,2382,2185,3578
41,9.355581204096154e-19,9.510725170488954e-19,-1.035927253585218e-17,,,,-1.2320764541855768e-19,-3.896061321859674e-43,6.85187706127751e-43,1.317602982758384e-41,,,,1.3187144505041117e-43,948,2382,2185,3578
42,8.967430485451316e-19,8.624181533024088e-19,-1.2385353795773772e-17,,,,-1.2021934360455e-19,-3.675514952869648e-43,4.955953765585047e-43,1.1151250108693091e-41,,,,8.095214565730583e-44,948,2382,2185,3578
43,8.416280495518212e-19,7.533153379611129e-19,-1.4424551886829976e-17,,,,-1.1525182969121921e-19,-3.3824452113087595e-43,2.8136019140239113e-43,8.780384241350735e-42,,,,2.415249537895079e-44,948,2382,2185,3578
44,7.6947746806136e-19,6.2340670273235e-19,-1.6449227714127685e-17,,,,-1.0819136758998709e-19,-3.014256061222557e-43,4.322260177003264e-44,6.064804040294433e-42,,,,-3.827045893068033e-44,948,2382,2185,3578
45,6.7972833181951e-19,4.725960937932641e-19,-1.8429377689518578e-17,,,,-9.894326492932254e-20,-2.5691731659691796e-43,-2.1766982345931227e-43,3.010887279993288e-42,,,,-1.0595618792124151e-43,948,2382,2185,3578
46,5.720143757621272e-19,3.0107422150619584e-19,-2.033283848112902e-17,,,,-8.743498391650953e-20,-2.0463454041075152e-43,-4.9974078233078874e-43,-3.69607086115299e-43,,,,-1.7843615967499423e-43,948,2382,2185,3578
47,4.461895161594615e-19,1.0934263545890519e-19,-2.2125541366183215e-17,,,,-7.361922793001401e-20,-1.4459427593540573e-43,-8.009676820508325e-43,-4.059204971264684e-42,,,,-2.5513042779221993e-43,948,2382,2185,3578
48,3.023503914871082e-19,-1.0176447018461762e-19,-2.3771817199861628e-17,,,,-5.747695790426932e-20,-7.692488621123973e-44,-1.1188687645350465e-42,-8.03443302900211e-42,,,,-3.353454789601044e-43,948,2382,2185,3578
49,1.4085756424477163e-19,-3.310611313602634e-19,-2.5234752390787338e-17,,,,-3.902028929073155e-20,-1.8746375604514312e-45,-1.4504955329426837e-42,-1.2265593009037278e-41,,,,-4.182734875790011e-43,948,2382,2185,3578
50,-3.7645040836937054e-20,-5.769936886701415e-19,-2.6476595588205497e-17,,,,-1.829521749279468e-20,8.018066471242761e-44,-1.792431079288095e-42,-1.6716603226564933e-41,,,,-5.0299311882940165e-43,948,2382,2185,3578
51,-2.3221290128033736e-19,-8.376285847568839e-19,-2.745921404082424e-17,,,,4.615882745131288e-21,1.6873113555025702e-43,-2.1407948855065934e-42,-2.1344915629114974e-41,,,,-5.884720127958679e-43,948,2382,2185,3578
52,-4.415863127689099e-19,-1.1106444033417667e-18,-2.814459778762432e-17,,,,2.9592040384568146e-20,2.6312755868004354e-43,-2.4912546319620986e-42,-2.610151666401353e-41,,,,-6.735710708051248e-43,948,2382,2185,3578
53,-6.641789094160454e-19,-1.393328657000065e-18,-2.849540899296266e-17,,,,5.647181121251836e-20,3.625776186613161e-43,-2.83904549786717e-42,-3.0931019726351997e-41,,,,-7.570506508963096e-43,948,2382,2185,3578
54,-8.980697395136154e-19,-1.6825798106929245e-18,-2.847557284949986e-17,,,,8.50517992167964e-20,4.661438077140841e-43,-3.178997377108727e-42,-3.577185639472384e-41,,,,-8.375787622650568e-43,948,2382,2185,3578
55,-1.1409993395096437e-18,-1.9749149992638643e-18,-2.8050905551656605e-17,,,,1.1508563417434778e-19,5.727431926778288e-43,-3.5055703603322305e-42,-4.0556572934107844e-41,,,,-9.137413285874787e-43,948,2382,2185,3578
56,-1.3903702335502791e-18,-2.2664838591333126e-18,-2.718977389950099e-17,,,,1.462834623425603e-19,6.811492183632262e-43,-3.812898749776819e-42,-4.5212237658017416e-41,,,,-9.84054567351491e-43,948,2382,2185,3578
57,-1.6432522630262477e-18,-2.55308884697161e-18,-2.5863780139489658e-17,,,,1.7831200517203184e-19,7.899957111288799e-43,-4.094843777378007e-42,-4.966096369313513e-41,,,,-1.0469795067592903e-42,948,2382,2185,3578
58,-1.8963931198164045e-18,-2.8302123609900034e-18,-2.4048464696827802e-17,,,,2.1079523802718624e-19,8.97783230611621e-43,-4.3450550893412274e-42,-5.382055047892398e-41,,,,-1.1009386335189616e-42,948,2382,2185,3578
59,-2.146234418025932e-18,-3.093050913568024e-18,-2.1724018518016742e-17,,,,2.43315736960709e-19,1.0028878980629188e-42,-4.5570409422032303e-42,-5.760524596423846e-41,,,,-1.1443346340654972e-42,948,2382,2185,3578
60,-2.3889335917668824e-18,-3.336556527272074e-18,-1.88759958361078e-17,,,,2.7541673660100566e-19,1.1035728066391052e-42,-4.7242469270006605e-42,-6.092662993729115e-41,,,,-1.1755711586420812e-42,948,2382,2185,3578
61,-2.6203918508161095e-18,-3.5554854400929255e-18,-1.5496017310904027e-17,,,,3.066049361520527e-19,1.19800209224899e-42,-4.84014290042365e-42,-6.369461725162378e-41,,,,-1.1930755024831055e-42,948,2382,2185,3578
62,-2.8362883618115385e-18,-3.744454110270393e-18,-1.1582452698277622e-17,,,,3.3635408335808653e-19,1.2842577132191322e-42,-4.898317655827499e-42,-6.581857789890748e-41,,,,-1.1953230613756024e-42,948,2382,2185,3578
63,-3.032120750133747e-18,-3.898002406873922e-18,-7.141071483978801e-18,,,,3.6410935805162996e-19,1.360358953189267e-42,-4.892580714005225e-42,-6.720856894225214e-41,,,,-1.1808633804936733e-42,948,2382,2185,3578
64,-3.203251937016601e-18,-4.010663760030406e-18,-2.185649295345837e-18,,,,3.8929256759782793e-19,1.4242846244513463e-42,-4.8170704552053024e-42,-6.777667127700189e-41,,,,-1.1483475760124383e-42,948,2382,2185,3578
65,-3.3449632381267996e-18,-4.077041925172816e-18,3.261482603008458e-18,,,,4.1130815620301737e-19,1.4739979086101336e-42,-4.6663676517475047e-42,-6.743842204851058e-41,,,,-1.0965568690779246e-42,948,2382,2185,3578
66,-3.4525135543812145e-18,-4.091893889943633e-18,9.168957798322822e-18,,,,4.295500187206206e-19,1.5074737282504947e-42,-4.435613296694598e-42,-6.611433134993546e-41,,,,-1.0244319317518216e-42,948,2382,2185,3578
67,-3.5212043838175715e-18,-4.050218321626229e-18,1.5495978497186377e-17,,,,4.434090973312219e-19,1.52272849759204e-42,-4.120629460534324e-42,-6.373146957247182e-41,,,,-9.311027051281256e-43,948,2382,2185,3578
68,-3.5464502757384124e-18,-3.947348818579224e-18,2.2192015922511264e-17,,,,4.522817263838117e-19,1.5178520523088313e-42,-3.71804174706485e-42,-6.022510951342145e-41,,,,-8.159183115400273e-43,948,2382,2185,3578
69,-3.523854236108385e-18,-3.779051092676901e-18,2.9196620565026384e-17,,,,4.555786768694266e-19,1.4910415092718794e-42,-3.225401764187716e-42,-5.554040509459898e-41,,,,-6.78476646288036e-43,948,2382,2185,3578
70,-3.449287477457382e-18,-3.541623072951851e-18,3.643935518940377e-17,,,,4.527348375847621e-19,1.440636756484175e-42,-2.6413078777861505e-42,-4.963408633803106e-41,,,,-5.186532003071797e-43,948,2382,2185,3578
71,-3.318972788640314e-18,-3.2319967853987814e-18,4.383986295741664e-17,,,,4.432194551802207e-19,1.3651572225371186e-42,-1.9655223801314156e-42,-4.247614812330814e-41,,,,-3.3662863436361513e-43,948,2382,2185,3578
72,-3.129570681194766e-18,-2.8478407322908794e-18,5.130808226786388e-17,,,,4.265468401427839e-19,1.2633395242024176e-42,-1.1990830812543255e-42,-3.40515082490606e-41,,,,-1.3291459846159276e-43,948,2382,2185,3578
73,-2.878267351333185e-18,-2.3876613685822936e-18,5.874461891525566e-17,,,,4.022874305272962e-19,1.134175541023347e-42,-3.444072254604987e-43,-2.4361608479404454e-41,,,,9.162273210438406e-44,948,2382,2185,3578
74,-2.56286338155647e-18,-1.8509021553441016e-18,6.604128492870087e-17,,,,3.7007909012720926e-19,9.769504177776486e-43,5.946144512827146e-43,-1.342593061580051e-41,,,,3.357419494517681e-43,948,2382,2185,3578
75,-2.1818619953560036e-18,-1.2380385631294269e-18,7.30818119640471e-17,,,,3.2963850299219606e-19,7.912799502938549e-43,1.612535770936975e-42,-1.283398237522173e-42,,,,5.978090906473387e-43,948,2382,2185,3578
76,-1.7345555744664158e-18,-5.506673041842075e-19,7.974274538411705e-17,,,,2.8077251199605104e-19,5.771467681977674e-43,2.7022875554881994e-42,1.2006366357786638e-41,,,,8.757842599652937e-43,948,2382,2185,3578
77,-1.2211090527195863e-18,2.0841200594081848e-19,8.589452317523119e-17,,,,2.233892357888399e-19,3.3493469066329733e-43,3.8551267559091955e-42,2.636196126587767e-41,,,,1.1672127519866635e-42,948,2382,2185,3578
78,-6.426387158806526e-19,1.0351246170029046e-18,9.140274161811939e-17,,,,1.5750878619917092e-19,6.546059908199263e-44,5.060604539540407e-42,4.167933180690346e-41,,,,1.469221219675378e-42,948,2382,2185,3578
79,-1.2848651163657266e-21,1.924059741990923e-18,9.612960716672718e-17,,,,8.327339726174391e-20,-2.2999685529973084e-43,6.306555550359133e-42,5.783113674746896e-41,,,,1.77851941076599e-42,948,2382,2185,3578
80,6.997232548268323e-19,2.868422899699245e-18,9.993557130239035e-17,,,,9.567678142017017e-22,-5.496724093460639e-43,7.579110462880398e-42,7.466638514266504e-41,,,,2.0914079656573794e-42,948,2382,2185,3578
81,1.4560119008629925e-18,3.860003407950056e-18,1.0268114224080692e-16,,,,-8.902758767928484e-20,-8.912939226066459e-43,8.862733817977499e-42,9.201037410101392e-41,,,,2.4037927300837627e-42,948,2382,2185,3578
82,2.2620183080211775e-18,4.8891588962787356e-18,1.0422886429710484e-16,,,,-1.861191904783924e-19,-1.2520674008519278e-42,1.0140288956000524e-41,1.0966495633430016e-40,,,,2.711205985784404e-42,948,2382,2185,3578
83,3.1109588529461216e-18,5.944818639808399e-18,1.0444545248664047e-16,,,,-2.8960486404253585e-19,-1.628668012308519e-42,1.1393131647892156e-41,1.2740916437086212e-40,,,,3.008834941983233e-42,948,2382,2185,3578
84,3.994811534696612e-18,7.014507417214922e-18,1.032040665871726e-16,,,,-3.9861462835818615e-19,-2.0172377809621935e-42,1.2601233767706184e-41,1.4500021576270812e-40,,,,3.2915577596106796e-42,948,2382,2185,3578
85,4.90431435206296e-18,8.084391463570266e-18,1.0038670544762578e-16,,,,-5.12119431586403e-19,-2.4133906104380002e-42,1.3743338049703876e-41,1.6217492048734324e-40,,,,3.5539872988821045e-42,948,2382,2185,3578
86,5.828981078500639e-18,9.139347922224154e-18,9.588669884024343e-17,,,,-6.2893092197498e-19,-2.8122252489908588e-42,1.4797144630293414e-41,1.786515080246853e-40,,,,3.790522689270386e-42,948,2382,2185,3578
87,6.757135829144852e-18,1.0163058997890767e-17,8.961127066144643e-17,,,,-7.4770345297646405e-19,-3.208346750527571e-42,1.573952969037185e-41,1.9413188727560876e-40,,,,3.995408719416545e-42,948,2382,2185,3578
88,7.675967678088886e-18,1.1138131775318505e-17,8.148414384128034e-17,,,,-8.669385008495402e-19,-3.595896917944376e-42,1.6546796088686025e-41,2.0830434758736012e-40,,,,4.1628029336260755e-42,948,2382,2185,3578
89,8.571606417349272e-18,1.2046244394373448e-17,7.144815397499719e-17,,,,-9.849916565498292e-19,-3.968594133163305e-42,1.7194955413920554e-41,2.208467036770804e-40,,,,4.286850201994862e-42,948,2382,2185,3578
90,9.429220351228883e-18,1.2868318963607606e-17,5.946783549964675e-17,,,,-1.1000823323302536e-18,-4.3197828830113296e-42,1.7660040385368186e-41,2.3142988122215894e-40,,,,4.361764403780369e-42,948,2382,2185,3578
91,1.0233136791045379e-17,1.358472125150635e-17,4.553194126317718e-17,,,,-1.2103062981094458e-18,-4.642493181616304e-42,1.7918446003037468e-41,2.3972193334936162e-40,,,,4.381916729456746e-42,948,2382,2185,3578
92,1.0966985655768242e-17,1.41754868192958e-17,2.965585363559212e-17,,,,-1.313651133318433e-18,-4.929509968597597e-42,1.7947297292494018e-41,2.4539247124831103e-40,,,,4.341929967238234e-42,948,2382,2185,3578
93,1.1613866294821882e-17,1.462057285373573e-17,1.1883842955158222e-17,,,,-1.4080146466456758e-18,-5.173452428523421e-42,1.772484091300833e-41,2.4811748471443767e-40,,,,4.236777996190565e-42,948,2382,2185,3578
94,1.2156537331481977e-17,1.4900134525661888e-17,-7.708872847400505e-18,,,,-1.4912262789730768e-18,-5.36686303163067e-42,1.7230857305888264e-41,2.4758452065848272e-40,,,,4.061889562035453e-42,948,2382,2185,3578
95,1.2577628980761328e-17,1.499482424376696e-17,-2.901431508195376e-17,,,,-1.561071463999383e-18,-5.5023059396303004e-42,1.644708946019001e-41,2.4349817958162162e-40,,,,3.8132552652364166e-42,948,2382,2185,3578
96,1.285987692684295e-17,1.488611169748309e-17,-5.1890226165974117e-17,,,,-1.6153188768187443e-18,-5.5724742547674766e-42,1.5357683773071e-41,2.3558588179594873e-40,,,,3.487536545962067e-42,948,2382,2185,3578
97,1.2986376454931439e-17,1.455662209278283e-17,-7.61588954437829e-17,,,,-1.6517504533677578e-18,-5.5703054166335996e-42,1.394963789033946e-41,2.2360384686888194e-40,,,,3.082175309249175e-42,948,2382,2185,3578
98,1.2940855124395908e-17,1.3990489485843547e-17,-1.0160637755734518e-16,,,,-1.6681940135537202e-18,-5.4891038712490616e-42,1.2213249838406447e-41,2.0734322149686428e-40,,,,2.595502698477491e-42,948,2382,2185,3578
99,1.2707961848386568e-17,1.3173721618062532e-17,-1.279821509315233e-16,,,,-1.6625582684835977e-18,-5.3226699526120033e-42,1.0142562211599458e-41,1.8663628288826376e-40,,,,2.0268453985986435e-42,948,2382,2185,3578
100,1.2273569814417048e-17,1.2094572158722193e-17,-1.5499926213081442e-16,,,,-1.6328699380557904e-18,-5.065433730443836e-42,7.735794668917007e-42,1.6136263688631044e-40,,,,1.3766277350193287e-42,948,2382,2185,3578
101,1.1625090245974092e-17,1.0743915776119984e-17,-1.823349992232405e-16,,,,-1.5773126498574348e-18,-4.7125923916966203e-42,4.9957575324812843e-42,1.3145532262705238e-40,,,,6.4646773229424206e-43,948,2382,2185,3578
102,1.0751793572845523e-17,9.115620992155233e-18,-2.0963213381149935e-16,,,,-1.4942672345036657e-18,-4.260249540183084e-42,1.930238877185243e-42,9.690672864831715e-41,,,,-1.6073478844037764e-43,948,2382,2185,3578
103,9.645134153856932e-18,7.206915337625121e-18,-2.3650076703148023e-16,,,,-1.3823529770063454e-18,-3.7055546213150317e-42,-1.4476428314767994e-42,5.777421919265484e-41,,,,-1.0407200603238773e-42,948,2382,2185,3578
104,8.299074286856093e-18,5.018736924630883e-18,-2.625208095532643e-16,,,,-1.2404693292784287e-18,-3.046840510442494e-42,-5.119128745421754e-42,1.4185364133224666e-41,,,,-1.9878022009253962e-42,948,2382,2185,3578
105,6.710402854276306e-18,2.5560661976360137e-18,-2.872451194401213e-16,,,,-1.0678375363365923e-18,-2.2837571468845523e-42,-9.059560640254691e-42,-3.3657338348353296e-41,,,,-2.99481707202289e-42,948,2382,2185,3578
106,4.879043595993318e-18,-1.7176867485082473e-19,-3.102033146291989e-16,,,,-8.640415790827847e-19,-1.417398954771102e-42,-1.3238181327150364e-41,-8.547236033388114e-41,,,,-4.0530862114363194e-42,948,2382,2185,3578
107,2.8083476822912836e-18,-3.1508195408936953e-18,-3.3090626880911094e-16,,,,-6.290677906942083e-19,-4.504236697026203e-43,-1.761800281872452e-41,-1.408957798003792e-40,,,,-5.1523988418071116e-42,948,2382,2185,3578
108,5.053649865917067e-19,-6.3622860718631226e-18,-3.488512906141485e-16,,,,-3.633424626359329e-19,6.128399095358805e-43,-2.2155750414696843e-41,-1.994787694596635e-40,,,,-6.281013891815019e-42,948,2382,2185,3578
109,-2.018911761705821e-18,-9.782330646823117e-18,-3.6352797637706733e-16,,,,-6.776672116103131e-20,1.766297798910791e-42,-2.680189055802383e-41,-2.606860536789378e-40,,,,-7.425683862078303e-42,948,2382,2185,3578
110,-4.749335921259686e-18,-1.3381947311830956e-17,-3.744247162428464e-16,,,,2.5625207307732997e-19,3.0020129360911764e-42,-3.1500749856651984e-41,-3.238954453367905e-40,,,,-8.571702229207666e-42,948,2382,2185,3578
111,-7.666435044068692e-18,-1.7126891696778177e-17,-3.810358223213699e-16,,,,6.067731699669228e-19,4.310146127808748e-42,-3.619073206350045e-41,-3.883985695864678e-40,,,,-9.70297590583895e-42,948,2382,2185,3578
112,-1.07462842160534e-17,-2.0977678549708435e-17,-3.828692358414125e-16,,,,9.813002984078135e-19,5.678918425209777e-42,-4.0804639052584315e-41,-4.534028746479173e-40,,,,-1.0802124061011479e-41,948,2382,2185,3578
113,-1.3960430631612234e-17,-2.4889653210896306e-17,-3.7945475807243333e-16,,,,1.3767653386311247e-18,7.094597452138558e-42,-4.5270100918868604e-41,-5.180350208458074e-40,,,,-1.1850604353493177e-41,948,2382,2185,3578
114,-1.727587523354927e-17,-2.88131428904504e-17,-3.7035273723244312e-16,,,,1.789518569103695e-18,8.541510107090557e-42,-4.951011926190959e-41,-5.813457280875799e-40,,,,-1.2828867340580906e-41,948,2382,2185,3578
115,-2.0655116984411292e-17,-3.2693693029063435e-17,-3.551631308444301e-16,,,,2.21532623738037e-18,1.0002083911424352e-41,-5.344372648908466e-41,-6.423161487925468e-40,,,,-1.3716539497068252e-41,948,2382,2185,3578
116,-2.4056264966467406e-17,-3.647239330835853e-17,-3.335348502017154e-16,,,,2.6493761702962228e-18,1.14569190823353e-41,-5.69867625959875e-41,-6.998658179258352e-40,,,,-1.4492634914601262e-41,948,2382,2185,3578
117,-2.7433223030915782e-17,-4.0086297033168186e-17,-3.0517528093104793e-16,,,,3.0862920916386776e-18,1.288489316754547e-41,-6.005276935455878e-41,-7.528622142747895e-40,,,,-1.5135795352286753e-41,948,2382,2185,3578
118,-3.07359511291263e-17,-4.346893663280186e-17,-2.6985986129269186e-16,,,,3.520157254337913e-18,1.4263299788659258e-41,-6.255400017151101e-41,-8.001319474773882e-40,,,,-1.5624557877585996e-41,948,2382,2185,3578
119,-3.3910806757810924e-17,-4.65509369235152e-17,-2.27441588033929e-16,,,,3.944547918840016e-18,1.5568022701270282e-41,-6.440254208108326e-41,-8.404735636537339e-40,,,,-1.5937648875310192e-41,948,2382,2185,3578
120,-3.690096913535328e-17,-4.926072654357645e-17,-1.778603085325838e-16,,,,4.352577119420709e-18,1.6773745992435576e-41,-6.551154442044424e-41,-8.726719389204429e-40,,,,-1.6054302715727987e-41,948,2382,2185,3578
