FRAMES,FP1_FORCE_X,FP1_FORCE_Y,FP1_FORCE_Z,FP1_COFP_X,FP1_COFP_Y,FP1_COFP_Z,FP1_FREEMOMENT_Z,FP2_FORCE_X,FP2_FORCE_Y,FP2_FORCE_Z,FP2_COFP_X,FP2_COFP_Y,FP2_COFP_Z,FP2_FREEMOMENT_Z,Heel_contact_1,Toe_off_1,Heel_contact_2,Toe_off_2
2307.14,1.9848784257547698,16.132860418365766,45.12263936422021,0.3089696755356811,0.3136997895648533,0.0,0.26841356305446584,-0.738260871731472,-9.144267894771973,53.603028494772246,0.20961513896941003,0.7788573614228032,0.0,1.0327587146277117,948.0000000000002,2382.0,2185.0,3578.0
2309.11,2.0423542430206942,15.669031896309242,43.7858263100279,0.3088447868733724,0.31440770225014136,0.0,0.26655073795257617,-0.6540788036687015,-9.46423512028749,53.76537401287297,0.20962776393128765,0.7793477440247073,0.0,1.0402828408171585,948.0000000000002,2382.0000000000005,2185.0,3578.0
2311.0800000000004,2.09104127033249,15.184787274400012,42.451081177744115,0.30903265537220986,0.3149925924865095,0.0,0.26471362959270117,-0.5655647469180543,-9.79300478462809,53.94418821189697,0.20940836990654407,0.7797973230521223,0.0,1.0480563890339647,948.0000000000002,2382.0,2185.0,3578.0
2313.05,2.1307479839975656,14.682400576621356,41.120422712826915,0.30927392839229817,0.3157020559259946,0.0,0.26288476295462215,-0.4730541273327744,-10.122894874557064,54.14473464269983,0.20906988899087042,0.7802181880699441,0.0,1.055893351822287,948.0000000000002,2382.0,2185.0,3578.0
2315.02,2.1613990891384947,14.164619921336602,39.79595710770639,0.30971793080110355,0.3163852994298252,0.0,0.2610437338456447,-0.3767150948462927,-10.446902159978153,54.37185038759024,0.20880851015576224,0.7809511881318701,0.0,1.0636016892837414,948.0,2382.0000000000005,2185.0,3578.0000000000005
2316.9900000000002,2.183035587837336,13.634606241801,38.47988317052475,0.31012021869223844,0.3169768062312507,0.0,0.2591675580536736,-0.27658703324537115,-10.758890009547033,54.629812387466224,0.2086011752492171,0.7819154482481817,0.0,1.0709919170371727,948.0000000000001,2382.0000000000005,2185.0,3578.0000000000005
2318.9599999999996,2.1958096072301645,13.095848900496534,37.174495010947574,0.3102024549116673,0.3175788375742888,0.0,0.2572311990282588,-0.17263022584364798,-11.053734886316313,54.92222263486559,0.20830869480619815,0.7828965173074797,0.0,1.0778859931640614,947.9999999999998,2381.9999999999995,2184.9999999999995,3577.9999999999995
2320.93,2.1999743413214308,12.55206101586042,35.8821809472159,0.31065053098498874,0.31816413258759874,0.0,0.25520828309767635,-0.06478158481346276,-11.32742810473051,55.25191653493777,0.20784528383976694,0.7840707091847362,0.0,1.084125921243196,948.0,2381.9999999999995,2185.0,3578.0
2322.9,2.19586996400704,12.00705930721864,34.60541713263108,0.3107490880039139,0.31902126360497224,0.0,0.2530720049244525,0.046989122401172374,-11.57713125636649,55.62089745428569,0.20743884449424227,0.7851143092875937,0.0,1.0895814672449975,948.0000000000002,2382.000000000001,2184.9999999999995,3578.0
2324.87,2.183906824131723,11.464635071455815,33.346754355987564,0.31112497155383484,0.31966442508346504,0.0,0.2507962090973956,0.16262800269046307,-11.801185626280287,56.030299136206146,0.20710551594962545,0.7863024586178634,0.0,1.0941564500852308,948.0000000000001,2382.0,2185.0,3577.9999999999995
