FRAMES,TIME,FP1_ANKLE_ANGLE_X,FP1_ANKLE_ANGLE_Y,FP1_ANKLE_ANGLE_Z,FP1_ANKLE_FORCE_X,FP1_ANKLE_FORCE_Y,FP1_ANKLE_FORCE_Z,FP1_ANKLE_MMT_X,FP1_ANKLE_MMT_Y,FP1_ANKLE_MMT_Z,FP1_ANKLE_VIRTUAL_LAB_ANGLE_X,FP1_ANKLE_VIRTUAL_LAB_ANGLE_Y,FP1_ANKLE_VIRTUAL_LAB_ANGLE_Z,FP1_HIP_ANGLE_X,FP1_HIP_ANGLE_Y,FP1_HIP_ANGLE_Z,FP1_HIP_ANGULAR_VELOCITY_X,FP1_HIP_ANGULAR_VELOCITY_Y,FP1_HIP_ANGULAR_VELOCITY_Z,FP1_HIP_LTH_FORCE_X,FP1_HIP_LTH_FORCE_Y,FP1_HIP_LTH_FORCE_Z,FP1_HIP_LTH_MMT_X,FP1_HIP_LTH_MMT_Y,FP1_HIP_LTH_MMT_Z,FP1_HIP_RPV_FORCE_X,FP1_HIP_RPV_FORCE_Y,FP1_HIP_RPV_FORCE_Z,FP1_HIP_RPV_MMT_X,FP1_HIP_RPV_MMT_Y,FP1_HIP_RPV_MMT_Z,FP1_KNEE_ANGLE_X,FP1_KNEE_ANGLE_Y,FP1_KNEE_ANGLE_Z,FP1_KNEE_ANGULAR_VELOCITY_X,FP1_KNEE_ANGULAR_VELOCITY_Y,FP1_KNEE_ANGULAR_VELOCITY_Z,FP1_KNEE_FORCE_X,FP1_KNEE_FORCE_Y,FP1_KNEE_FORCE_Z,FP1_KNEE_MMT_X,FP1_KNEE_MMT_Y,FP1_KNEE_MMT_Z,PELVIS_ANGLE_X,PELVIS_ANGLE_Y,PELVIS_ANGLE_Z,FP2_ANKLE_ANGLE_X,FP2_ANKLE_ANGLE_Y,FP2_ANKLE_ANGLE_Z,FP2_ANKLE_FORCE_X,FP2_ANKLE_FORCE_Y,FP2_ANKLE_FORCE_Z,FP2_ANKLE_MMT_X,FP2_ANKLE_MMT_Y,FP2_ANKLE_MMT_Z,FP2_ANKLE_VIRTUAL_LAB_ANGLE_X,FP2_ANKLE_VIRTUAL_LAB_ANGLE_Y,FP2_ANKLE_VIRTUAL_LAB_ANGLE_Z,FP2_HIP_ANGLE_X,FP2_HIP_ANGLE_Y,FP2_HIP_ANGLE_Z,FP2_HIP_ANGULAR_VELOCITY_X,FP2_HIP_ANGULAR_VELOCITY_Y,FP2_HIP_ANGULAR_VELOCITY_Z,FP2_HIP_RPV_FORCE_X,FP2_HIP_RPV_FORCE_Y,FP2_HIP_RPV_FORCE_Z,FP2_HIP_RPV_MMT_X,FP2_HIP_RPV_MMT_Y,FP2_HIP_RPV_MMT_Z,FP2_HIP_RTH_FORCE_X,FP2_HIP_RTH_FORCE_Y,FP2_HIP_RTH_FORCE_Z,FP2_HIP_RTH_MMT_X,FP2_HIP_RTH_MMT_Y,FP2_HIP_RTH_MMT_Z,FP2_KNEE_ANGLE_X,FP2_KNEE_ANGLE_Y,FP2_KNEE_ANGLE_Z,FP2_KNEE_ANGULAR_VELOCITY_X,FP2_KNEE_ANGULAR_VELOCITY_Y,FP2_KNEE_ANGULAR_VELOCITY_Z,FP2_KNEE_FORCE_X,FP2_KNEE_FORCE_Y,FP2_KNEE_FORCE_Z,FP2_KNEE_MMT_X,FP2_KNEE_MMT_Y,FP2_KNEE_MMT_Z,TORSO_ANGLE_X,TORSO_ANGLE_Y,TORSO_ANGLE_Z,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,LHEE_X,LHEE_Y,LHEE_Z,RHEE_X,RHEE_Y,RHEE_Z,k_Heel_contact_1,k_Toe_off_1,k_Heel_contact_2,k_Toe_off_2,stride_length,step_width
1.0,0.0,-0.009398168970171483,-0.0041555265612735065,-0.006177673318660884,-0.004524903308989892,-0.012126626927212137,-0.0027181979933164103,-0.0004827065042325607,0.0008866258619140218,9.511236761071026e-05,0.010672322745853974,-0.008534147957356686,-0.010903608590522602,19.85188479933237,-3.7291163164649355,32.573912598475694,-0.23850293043477003,-0.07195763186158755,-0.1082570537390688,0.04704737957737584,-0.4985544192242531,-0.24431502368519428,-0.17787309172058538,-0.021089313366371112,0.004874104430977104,-0.25895180256119715,-0.4735072153343159,-0.24939390423681665,-0.15190806730883682,0.09351641894344379,-0.011591005426478281,-9.09438387197564,3.0548368208439074,54.97750915098249,0.18762813920354166,0.0633557140971963,0.31860734163433935,0.0283871475081088,-0.20260203092967488,0.021330093623932983,0.04025475502715004,-0.006409454740933036,0.002449434511474264,-5.124570625848613,3.4723096641359845,-4.808483716251494,63.56210006018252,-35.99607770882209,-52.98131610629446,-0.017109667073296527,-0.003891645441286067,-0.21302728065681342,0.012311269344064799,-0.003977183361824928,-0.00019606922885479899,13.482550708612935,-9.515311762802828,-49.943751971488176,-2.040417725623697,8.41359615652674,43.454389665255725,0.3145911544122081,0.2702713233444254,-0.8174082351333019,0.18672340428421688,-0.00010489518246548785,-0.30577526330584953,0.02946348020763248,-0.04686098259120143,-0.0264923712916272,0.0160202398939949,-0.23920960734966656,-0.28460895675961506,-0.0070908763010238554,-0.038803239789102766,0.00420924694866986,31.883715939183464,37.17466150044699,-4.749631750723485,-0.34691008205378887,-0.8855385773187681,0.6276346919976163,0.10874142169168656,0.0768412639812578,-0.15916013100982296,0.024064118980943818,-0.02115656838926643,-0.003286844914162984,-2.1229581604688392,2.550788576601279,92.06612866397137,-8.738434138271444e-07,-0.0003074091261922197,4.900592813501196e-05,0.17118028900829102,-0.5816762828518658,0.05028960687770785,0.27430170421404443,-1.058708795223964,0.24314020153604549,26,66,61,99,37.49,5.86
2.0,0.01667,19.120072590873797,6.847644574257675,2.809271053333201,0.051252486410411364,-0.09496867401619621,0.9175546165032167,0.05825027310063685,0.005776936041873852,-0.000964370043912252,18.388531645707545,1.649360413399574,2.8159095743259392,18.08396884663856,-3.884985427215333,31.6268797910111,-17.311390707561618,-11.957621748576942,-1.2038855296688922,-0.6844449233911301,-1.2657411187315672,12.192815409017841,-0.5823413096859151,-0.16879738814789683,0.0005617521815523904,-2.260550277468341,-3.9439897052428385,11.545759850730896,-0.5594779692796356,0.19883639079167084,-0.03523154274741198,-4.271369288346144,-0.0885370866508943,44.347019882188455,-31.339190513721718,-25.08280384922398,-89.60193785969459,0.31225397445996533,-0.593123965574244,4.205906800389536,0.16236848015197694,-0.11640796647267522,0.011589094614992492,-5.037476207750383,3.4006771073657283,-4.859532639469447,47.345726466706516,-27.016900760681878,-40.45430718580867,-0.05552118834906928,-0.06528701619098566,-0.24862910242836692,0.02300700813354939,-0.0062267792649581995,-0.0012708229851773718,9.755682461857857,-6.84419047713504,-38.058649921863555,1.2503501680626896,8.081184062569115,41.33223877909178,35.93788039084198,-20.621207974065015,-6.74346944984654,0.14082605943003146,-0.4244671189243372,0.8350342036753233,-0.04806286082212261,-0.033668199452164434,-0.024714139726736462,0.13301509734623734,-0.14551797322840218,0.9313082908561335,-0.051912070707530206,0.01606491548479118,0.0008839561900361285,29.020675906064994,30.552615055654044,-0.7006023288659765,0.08408988083105931,-0.508172035037742,-7.24127386370255,0.07139262409703359,0.027830806418438426,0.4474537125786072,-0.011990806187869395,0.03881975319115482,-0.004857780259825882,-1.980087462342706,2.623013215994882,91.65633333935381,0.016107569297245855,-0.04466624776862062,0.07409728699659242,0.17143468019286934,-0.5815413089067202,0.050362724162280756,0.27281139998523823,-1.01954772927364,0.25516629445594885,26,66,61,99,37.49,5.86
3.0,0.03333,37.21575352855666,13.296807885649198,5.373243434074605,0.12143974106424231,-0.1861534503886478,1.947091087156594,0.12443617582270727,0.010051065722483078,-0.0019615493493327497,35.68276354134788,3.230960736005949,5.433460496582988,16.402848314856804,-4.0455252631553655,30.961857983970724,-33.92279953857109,-23.44860226150669,-3.0929011816578407,-1.0205602551459176,-2.040357252579413,25.428543395904413,-0.9666996122755126,-0.39065909908050434,-0.0035974822363557504,-4.033492905249747,-7.617397866749901,24.182538617283484,-0.9913352562754884,0.2397036887139435,-0.07444755974017243,0.17209183819651702,-2.9944509645068775,34.65394607660032,-55.813543424592915,-44.337170899876575,-161.94795036656384,0.6228625830440913,-0.9347539119505663,8.817319305636222,0.2797485707629436,-0.23500686707112964,0.018741919426124843,-4.972711532041556,3.322759022203751,-4.888257874615334,32.94536743804981,-18.999939796978826,-29.209785019060398,-0.06100118206707652,-0.09604613163270183,-0.30347088985952986,0.025893729687714747,-0.007118257494811168,-0.0022820800497529207,6.449135041910009,-4.449356936871266,-27.40678340851912,4.460088770749038,7.767593527998131,39.67012136873141,67.68570746189327,-39.37340384021945,-9.121466003733152,0.23595922562806568,-0.8082686272304368,1.4303783428683512,-0.18018870464385903,-0.058897457007747324,-0.03047792854855937,0.18060274679404337,-0.26216381612616724,1.633250408988268,-0.16563467074288807,0.07804062545579142,0.006909648588356665,26.54400858240161,24.702257853488092,2.960155953292973,0.9502728308077116,0.9786507025393081,-15.339206883535322,-0.055633078818411265,-0.1326956329851129,0.778461327383183,-0.051317446988095795,0.08251734870840807,-0.005040077857761282,-1.8426815523272835,2.6980234824613873,91.25451669450476,0.030827943834592534,-0.08509290747694485,0.1418630075116345,0.1716897433565845,-0.5814187855400699,0.05047626963073918,0.2713350561413703,-0.979824723330324,0.26533613697163233,26,66,61,99,37.49,5.86
4.0,0.05,53.316642122295704,18.971961496994005,7.46202866819528,0.22107160421638686,-0.2881098886200917,3.1478851755326978,0.20244809944900677,0.012743212533323231,-0.0026866485278478846,50.90666218237925,4.660582353962175,7.648239803434153,14.865546646124834,-4.209335434673119,30.77375751251956,-49.52889064033527,-34.10755354094004,-6.474479952713028,-0.6703581814489677,-2.6640894245195557,39.84502937928357,-1.258657323373828,-0.7395436082219079,-0.00803289390972432,-5.286465564064786,-11.44985694794899,38.08973314603994,-1.421061349999376,0.13351240538913123,-0.1370465511143943,3.911990829622368,-5.452986988108206,26.652896778705674,-68.01400166014463,-53.335175286891975,-203.60850440302457,0.9801896660436693,-1.1315969222538511,14.093451109816897,0.37574656244239685,-0.368800198583311,0.02179467650184071,-4.942764652827992,3.2287718764438726,-4.867455813078075,21.795101009892623,-12.717314401446659,-20.22495486522347,-0.021944304679923525,-0.07185678614609443,-0.3713971213152614,0.01626880109662758,-0.00530983063446097,-0.003058344143777756,3.8963073449114427,-2.5488485594129,-18.950118392715723,7.51186115687867,7.487887464501278,38.81922942166375,92.41772752247253,-54.2451301950665,-5.525545000998187,0.46407962663446617,-1.0106285918579643,1.1465226910261632,-0.3452742908585702,-0.11525838042548943,-0.039854598743211136,0.12043462093478527,-0.5876074619751412,1.458627126108342,-0.3274002302702011,0.13934737232234934,0.022186258109402966,24.673018134200017,20.222355222073833,5.8872353514357405,2.347933158765119,4.096850419273898,-23.585541855065607,-0.2842594221368094,-0.38684631737233194,0.6496463108867195,-0.08156721194317576,0.09595302349961583,-0.002600478973699871,-1.7158189398902772,2.7752186845243387,90.86864108877687,0.043098538057903445,-0.11856866517535737,0.19860710115807143,0.1719293431758049,-0.5813287919800987,0.05065234333026632,0.2698401489108932,-0.9394532998449874,0.27208487853152047,26,66,61,99,37.49,5.86
5.0,0.06667,66.64713175082761,23.5767339529351,8.91501073628892,0.3573285885845175,-0.39877674567019683,4.508244816428799,0.29174592099243896,0.01305303616856432,-0.002983319587286401,63.283472249246216,5.875502695503881,9.314259906572367,13.469382486047463,-4.366553081912829,31.1263018490136,-63.44105798370362,-43.42212743337578,-11.671784054505231,0.5014217628314211,-2.9288405280667256,55.130285195513096,-1.3787456171186019,-1.2297995393755068,-0.01219273684461301,-5.756120461589614,-15.153629263852233,53.00802155443813,-1.7962433971953933,-0.179051453112353,-0.22116648567438596,6.720980817379404,-7.3077592566088025,20.79177552753845,-65.90461198313534,-50.381005914180754,-209.24958549443886,1.384676106751406,-1.1002307529017712,19.965480701350184,0.43253963216082153,-0.5170194967881664,0.019339464313534126,-4.946134518445064,3.1059292954119457,-4.763529697142988,14.712768926519203,-8.614222772656221,-13.967808432003125,0.059830466894888974,0.01664033391068417,-0.4179525550465502,-0.007419586637884892,-2.1049629743023524e-05,-0.003348812511448878,2.3713198691967063,-1.2718465831187413,-13.176511239957017,10.339085478586913,7.241217388999413,38.924980796732235,108.1641509590647,-64.14277742088606,4.630931745341378,0.7441553217185336,-0.9028002907403099,-0.09984199006228653,-0.494128443516891,-0.17816349490895983,-0.04508723751338623,-0.05558846302486358,-1.0143451712116882,0.278565166875717,-0.48377022981218465,0.18635925142159362,0.04228538213474277,23.369097216492808,17.375618543847537,7.817069653390637,4.36034839999841,8.487762115675734,-31.563796940966725,-0.5801656142541641,-0.667945813556675,0.005375548034956564,-0.09009640483506313,0.07112902635872277,0.0030015432707584887,-1.6025144086765024,2.851015850639771,90.50619148313702,0.052483389038624075,-0.14357714638560665,0.24252998243601065,0.17214208814834078,-0.5812840518301743,0.05090109996164172,0.26825193052720137,-0.8983141473747499,0.2742520267640494,26,66,61,99,37.49,5.86
6.0,0.08333,76.74210085538363,26.937118263872332,9.660296186285255,0.5276756956844537,-0.5127787810230222,5.943305547119054,0.38684482830613115,0.01056062171635353,-0.0027938289788940664,72.37099774129038,6.836463738634785,10.356314083086295,12.161995348292502,-4.501359524975922,31.959959825312893,-74.9107655879181,-50.87875842202807,-18.500247112671747,2.43211018440421,-2.631110101603424,70.3211556937509,-1.2617760839947914,-1.8312233305342875,-0.014238194728167826,-5.276331245483062,-18.245476060721767,68.02329575722366,-2.0518940669656587,-0.7166529626833422,-0.31486947644403107,8.498414467535365,-8.478146803482305,17.168406520389457,-50.936689671065444,-36.71698006025665,-182.08932199943607,1.8163604859294096,-0.7947957992329987,26.065291602995064,0.43611752458998954,-0.6714091692770573,0.01114211457701527,-4.971217588094184,2.941935473073179,-4.543176944133701,11.88773417705249,-6.803911141746789,-10.394869879496985,0.16672049484691745,0.1578606004540041,-0.3879858657076228,-0.04215399121813446,0.008498464633891058,-0.0028634335561667644,2.102327893439656,-0.6557237192940222,-10.093466474068874,12.893030510676311,7.0138858753063476,39.92379455928122,114.4829004323517,-68.76983077796542,19.817976548574453,0.9368610447063866,-0.40626946904418965,-2.08077755046694,-0.5572450231948368,-0.2113708359421723,-0.03702188346984897,-0.31685931320292327,-1.3465599127719337,-1.7310378346394428,-0.5579677636515813,0.2003565478375517,0.05905156017195512,22.40524391186562,16.11867446981877,8.601766159765484,7.102567075634784,12.693158962496152,-38.586621118026436,-0.8585425022304413,-0.8680559589352275,-1.045880657651231,-0.06694538137216043,0.00836697376985983,0.011189930840008687,-1.5031762514795923,2.919366371470491,90.17360826379878,0.05937501184126439,-0.16061018477806907,0.2757080775217306,0.17232468114447602,-0.5812883057225572,0.05121986781245601,0.2664634860154784,-0.8562147419164821,0.27118332983701127,26,66,61,99,37.49,5.86
7.0,0.1,83.53296635456704,29.032920253829293,9.724240320730692,0.7209532612056371,-0.6239024569305724,7.323115494177169,0.4791172491232353,0.005377182786404763,-0.0021737449832241657,78.13930582903994,7.535637760207821,10.781648469502803,10.86949236308399,-4.597150127994529,33.13448759659657,-83.2941729318752,-56.09559544131235,-26.23540500235337,4.858133091062569,-1.640815048520235,84.12540059088573,-0.8792646228840514,-2.4744849517567085,-0.011486805737226565,-3.8500174935379268,-20.1843918484119,81.87262792249555,-2.130598093005743,-1.4477126585763511,-0.39899127706589826,9.277331302269584,-8.969525977127784,15.565920764924948,-27.287672625837644,-15.902779369180701,-132.06820836072345,2.239950132167993,-0.2243096038161299,31.84913950306909,0.3810452484100958,-0.818823501998992,-0.0016440977932493813,-5.004383630872513,2.729756721956191,-4.183555532142594,13.02898009394319,-7.145566576071096,-9.087252807823727,0.2658490820690265,0.31629998298327755,-0.2216041230905885,-0.0796335391614355,0.018633090746002962,-0.001362920880604661,3.2928988775559533,-0.6656672178260733,-9.34762056716774,15.149176027334462,6.786372425369706,41.59419334855234,112.47648677174678,-68.58137192368883,36.75835536058084,0.8779332701625682,0.4641826771715397,-4.241654449324007,-0.4613366070414289,-0.1767567302833239,-0.008412526537555502,-0.5916181511161076,-1.3442302900948648,-4.057887424804334,-0.4688193764865993,0.16135260286423808,0.06229670772507319,21.51954772718693,16.227951370557097,8.225187415220669,10.751225527786389,14.207997511435947,-43.91686901834751,-0.9942620830528018,-0.8598794670228969,-2.218982209493179,-0.008600841748396754,-0.08161776536956894,0.020036693458606127,-1.4156598563821388,2.9735032166553568,89.87576432657309,0.0649889745111014,-0.17217927546994086,0.3040432786781578,0.17248387100953205,-0.5813363338313732,0.05159576779010472,0.26436730687180987,-0.8128807171701413,0.26275735526634025,26,66,61,99,37.49,5.86
8.0,0.11667,87.34636534328979,29.99556740215495,9.219124265623885,0.9208400361909758,-0.7279991150393555,8.5155201854528,0.5596192663876745,-0.0018403173583981824,-0.0012564615133820692,80.95700527686081,7.997936673239714,10.673539831998648,9.526073523739406,-4.641745366782356,34.479732626064894,-88.23001917549662,-58.95706505269706,-33.72043003651577,7.36467901379342,0.035996205845951236,95.3604743267074,-0.25551907152547754,-3.067488923152987,-0.0016447673256729544,-1.687665743236022,-20.546988436582193,93.36835975223062,-2.0033587375826274,-2.292419537710531,-0.45287257877416454,9.205083816215547,-8.866379765229617,15.54540217764284,-0.41195658567123317,7.3932189471227305,-72.30597767017356,2.6137261518278674,0.5434621134015551,36.77948756879993,0.2733300733588162,-0.9453858827966198,-0.016709766568536902,-5.0371749414308535,2.4712291512716424,-3.6809982095399163,17.56334747451821,-9.343624512507695,-9.433620030000206,0.3132643006684057,0.43406522880720405,0.12513781953339825,-0.10670221450622024,0.027332275908885484,0.0012170311535207516,6.126412069650135,-1.2216823176146487,-10.384712720029881,17.109387246583236,6.539502993864387,43.6301761525145,104.41873234269822,-64.54634631591371,51.32760354364213,0.42650218892578196,1.5620131978273057,-5.747237755859767,-0.1537056700526899,-0.046944107954306424,0.04253726910593056,-0.7729687264224339,-0.7893843181087403,-5.87970355220183,-0.15749421109687198,0.05485594564901299,0.04247767486203269,20.55130063007001,17.427554582369133,6.7929075477389755,15.535701973758878,9.851586879353105,-47.01186713888445,-0.8480395577005406,-0.5321847071984632,-3.071604149411254,0.07800035676399027,-0.17652975112677075,0.02633193693981871,-1.3359414634862234,3.008247466192276,89.61574829351012,0.07109434832093639,-0.18218769151237763,0.3359658669044952,0.1726371392773182,-0.5814144287686102,0.052010935548224294,0.2618991481339926,-0.7679773948691178,0.2493453366584763,26,66,61,99,37.49,5.86
9.0,0.13333,88.81031758495598,30.07070701203618,8.312449237739111,1.1102725123812054,-0.8255042634823889,9.425866833789684,0.6217723212283743,-0.010025720025163233,-0.00017249815492935948,81.48539108607626,8.2749403720305,10.168372088574753,8.093501568629316,-4.630919967988585,35.836705271353715,-89.76438684047743,-59.6851391771812,-39.62197913144386,9.487740541056239,2.2230193703709897,103.30966610439599,0.5277904522435235,-3.5197374735141835,0.01560535623082288,0.8175162804075553,-19.17451326928063,101.74892221570788,-1.6856599305639788,-3.1373125432699287,-0.46147269148605435,8.503106657617733,-8.309864984142417,16.56570434512716,24.50142773511812,28.69457644802908,-15.315464099098406,2.9004593998190358,1.3910666399903668,40.48665134428726,0.13072660509473324,-1.0407177386349666,-0.03129601499629556,-5.069350630718976,2.178131171431364,-3.0547725179698637,24.79161337535257,-13.02108693055974,-10.787300841170099,0.2621069091896839,0.4379870117609938,0.6607413489476922,-0.10724522223830987,0.030424341594145764,0.004640731032511763,10.737808616393378,-2.2205002560840668,-12.5839131756067,18.79818464207594,6.257576918260204,45.711750445633335,93.11296697924817,-57.80657913336362,59.63477080325387,-0.4796925504734027,2.588342079736579,-5.600586343524028,0.3697780935495333,0.18149459900951612,0.10925497430108531,-0.7349516886230887,0.43596870226917966,-6.164363626825703,0.3825862114581525,-0.11960942866300102,-0.006013295530429918,19.490017405709263,19.450524425916278,4.499394855700863,21.678435944710284,-3.5634085188704314,-47.630422955665075,-0.30643601910609264,0.16605875532729192,-3.062575649660263,0.172181386530278,-0.24307565253466376,0.02604144584269323,-1.2592627506558594,3.0220168262150793,89.39501372613508,0.07953158372985451,-0.1947972469391696,0.3801339103693082,0.17281239661884498,-0.5815007385779326,0.05244898321415931,0.25907899151772856,-0.7211538833212738,0.2317225103172356,26,66,61,99,37.49,5.86
10.0,0.15,88.70298756316653,29.559445151548367,7.188704802169343,1.2751510359351585,-0.922591469443301,10.019878681775527,0.6629781990042064,-0.017937940820634768,0.0010286437220606642,80.5188954569743,8.433793441455357,9.424795568969287,6.5665906550417645,-4.569471826177007,37.082386938110396,-88.37630859332744,-58.806304367770586,-42.779535278432505,10.842664256038864,4.585390203536613,107.87626177349776,1.3412137629347074,-3.7681606302091013,0.03758581071280956,3.178919340319788,-16.239467747855578,106.84049671159745,-1.2433823751391693,-3.859321146983926,-0.4212241964497645,7.417970759434141,-7.4671323151217734,18.098861509212792,43.67177528746967,44.688073287688525,29.77348956131727,3.078001067748067,2.1700509155362173,42.85466206765802,-0.01952344273596621,-1.100820792975029,-0.04311773346776018,-5.107309379857676,1.8704896135946985,-2.344692490153465,33.96223662734435,-17.75069226537217,-12.565229258631055,0.07397251591952102,0.2522571907355478,1.3476412510492517,-0.06558538106820684,0.023363465690433106,0.008293092701499036,17.15571862972034,-3.5473603023367963,-15.340045825870085,20.253836323195525,5.928571533486984,47.557933510423226,81.20747907468727,-49.36330718931633,58.89881470995666,-1.775019117927078,3.1031107769591144,-2.8313554698581376,1.0400884879576766,0.4775450207976236,0.17548651345145835,-0.3581084156060535,2.277640085123846,-3.8462986957221323,1.0800368857604357,-0.3404198547789371,-0.08162704729496022,18.43310951727695,22.024138953656998,1.5868047447942262,29.310219104915753,-28.377875028501048,-45.7517934647781,0.6712894867679514,1.1821768260303707,-1.6483171686425089,0.23814748967730046,-0.24009588559819298,0.015156509975300885,-1.181420145791077,3.0178425045251167,89.21371335309661,0.09165476340619456,-0.21313271109368911,0.4427760001392186,0.17304683872267676,-0.5815658413351841,0.05290133076208491,0.25603353050694894,-0.6720991369586623,0.21095176071948302,26,66,61,99,37.49,5.86
